Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
IBM Maroc,Développeur Full Stack,8,Master,Python Django,17000
KPMG Technology Maroc,Data Scientist / IA,4,Bac+2,TensorFlow,8000
Tata Consultancy Services Maroc,Développeur Full Stack,7,Master,Java Spring,10000
Capgemini Maroc,Ingénieur Cybersécurité,9,Master,CISSP,19000
Atos Maroc,Data Scientist / IA,0,Bac+3,PyTorch,9000
Sopra Steria Maroc,Ingénieur Réseau,7,Bac+3,CCNA,8000
Tata Consultancy Services Maroc,Développeur Mobile,4,Bac+2,Flutter,4000
Accenture Maroc,DevOps Engineer,12,Master,Ansible,20000
Microsoft Maroc,Développeur Mobile,6,Ingénieur,Xamarin,21000
Tata Consultancy Services Maroc,Ingénieur Cybersécurité,5,Bac+3,Firewall,8000
KPMG Technology Maroc,DevOps Engineer,8,Master,Docker,17000
Orange Business Services Maroc,Cloud Engineer,2,Bac+3,OpenStack,7000
Lenovo Maroc,Ingénieur Cybersécurité,1,Master,SIEM,10000
EY Digital Maroc,Business Intelligence,12,Master,Tableau,15000
Accenture Maroc,Développeur Full Stack,11,Ingénieur,.NET Core,23000
Tata Consultancy Services Maroc,Data Scientist / IA,7,Ingénieur,R,17000
Capgemini Maroc,Data Scientist / IA,10,Ingénieur,Tableau,23000
IBM Maroc,Cloud Engineer,7,Bac+3,Docker,14000
Cisco Maroc,Chef de Projet IT,10,Doctorat,Kanban,19000
PWC Digital Maroc,Architecte Solutions,2,Ingénieur,UML,20000
PWC Digital Maroc,Développeur Full Stack,7,Bac+3,Vue.js,12000
SAP Maroc,DevOps Engineer,0,Bac+2,GitLab CI/CD,8000
KPMG Technology Maroc,Ingénieur Cybersécurité,3,Ingénieur,CISSP,17000
Tata Consultancy Services Maroc,Business Intelligence,14,Ingénieur,SQL Server,15000
CGI Maroc,Ingénieur Réseau,12,Master,Juniper,10000
Capgemini Maroc,Architecte Solutions,5,Bac+2,Enterprise Architecture,8000
